id,train_acc,val_acc,test_acc,best_epoch,loss_function,loss_precision,num_bits,weight_init_bits,low_precision_weights,activation_bits,vdecay,hidden_layer,out_layer,n_filters,kernel_size,reduce_dim,lr_hidden,lr_output,lr_scheduler,gradient_clip,weight_decay,train_activations,val_activations,test_activations,train_activations_fb,train_batch_size,test_batch_size,fb_angle,fb_ratio,session_name,seed,epochs
16,0.99516,0.979,0.9756,42,"('random', (-1, 2))",1,16,16,8,16,0.5,"[0.5, 0.5]","[0.5, 1.0]",32,5,True,0.001,0.001,none,0,False,"tensor([ 2.2479, 11.3145])","tensor([ 2.2357, 11.2830])","tensor([ 2.2691, 11.3458])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_float_transposed_loss_direct_100364571_exp_id_16,100364571,50
29,0.99628,0.9801,0.9789,48,"('random', (-1, 2))",1,16,16,8,16,0.5,"[0.5, 0.5]","[2.0, 4.0]",32,5,True,0.001,0.003,none,0,False,"tensor([ 2.3039, 11.2013])","tensor([ 2.2904, 11.1477])","tensor([ 2.3249, 11.2132])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_float_transposed_loss_direct_100364571_exp_id_29,100364571,50
56,0.98594,0.9698,0.9673,44,"('random', (-1, 2))",1,16,16,8,16,0.5,"[1.0, 1.0]","[1.0, 2.0]",32,5,True,0.001,0.001,none,0,False,"tensor([ 0.3687, 12.2371])","tensor([ 0.3640, 12.3865])","tensor([ 0.3771, 12.4887])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_float_transposed_loss_direct_100364571_exp_id_56,100364571,50
30,0.998,0.9798,0.9784,48,"('random', (-1, 2))",1,16,16,8,16,0.5,"[0.5, 0.5]","[2.0, 4.0]",32,5,True,0.003,0.001,none,0,False,"tensor([ 1.1128, 11.7722])","tensor([ 1.1183, 11.8876])","tensor([ 1.1152, 11.9755])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_float_transposed_loss_direct_100364571_exp_id_30,100364571,50
58,0.98946,0.9736,0.9727,45,"('random', (-1, 2))",1,16,16,8,16,0.5,"[1.0, 1.0]","[1.0, 2.0]",32,5,True,0.003,0.001,none,0,False,"tensor([ 0.4711, 11.9641])","tensor([ 0.4681, 11.9382])","tensor([ 0.4820, 11.9856])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_float_transposed_loss_direct_100364571_exp_id_58,100364571,50
52,0.98602,0.9709,0.9697,45,"('random', (-1, 2))",1,16,16,8,16,0.5,"[1.0, 1.0]","[1.5, 1.5]",32,5,True,0.001,0.001,none,0,False,"tensor([ 0.4039, 12.1273])","tensor([ 0.4013, 12.4994])","tensor([ 0.4137, 12.6113])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_float_transposed_loss_direct_100364571_exp_id_52,100364571,50
61,0.98836,0.9728,0.9709,45,"('random', (-1, 2))",1,16,16,8,16,0.5,"[1.0, 1.0]","[2.0, 4.0]",32,5,True,0.001,0.003,none,0,False,"tensor([ 0.4261, 11.9723])","tensor([ 0.4238, 12.0212])","tensor([ 0.4362, 12.0838])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_float_transposed_loss_direct_100364571_exp_id_61,100364571,50
32,0.9941,0.9784,0.976,37,"('random', (-1, 2))",1,16,16,8,16,0.5,"[0.5, 1.0]","[0.5, 1.0]",32,5,True,0.001,0.001,none,0,False,"tensor([ 2.1969, 11.3631])","tensor([ 2.1864, 11.5490])","tensor([ 2.2179, 11.5604])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_float_transposed_loss_direct_100364571_exp_id_32,100364571,50
7,0.9882,0.9785,0.9773,45,"('random', (-1, 2))",1,16,16,8,16,0.5,"[0.3, 0.6]","[1.5, 1.5]",32,5,True,0.003,0.003,none,0,False,"tensor([ 6.7728, 10.2395])","tensor([ 6.7710, 10.4199])","tensor([ 6.8040, 10.4861])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_float_transposed_loss_direct_100364571_exp_id_7,100364571,50
38,0.9977,0.9789,0.976,48,"('random', (-1, 2))",1,16,16,8,16,0.5,"[0.5, 1.0]","[1.5, 1.5]",32,5,True,0.003,0.001,none,0,False,"tensor([ 0.7154, 11.3114])","tensor([ 0.7202, 11.3770])","tensor([ 0.7151, 11.4117])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_float_transposed_loss_direct_100364571_exp_id_38,100364571,50
