id,train_acc,val_acc,best_epoch,Neurons,vdecay,vedecay_rec,hidden_layer_0,hidden_layer_1,out_layer,lr_hidden,lr_hidden_rec,lr_output,data_params,train_activations,val_activations,train_activations_fb,fb_angle,fb_ratio,session_name,seed,epochs
91,0.0519862677783227,0.0578621908127208,3,"[256, 256]",0.5,0.5,"[2.0, 4.0]","[0.5, 1.0]","[1.0, 2.0]","[0.003, 0.003]","[0.001, 0.003]",0.003,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([4.3806e+01, 1.4032e+00, 8.5529e-03])","tensor([48.9286,  2.5429,  0.1836])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_float_2_layers_v0/shd_biograd_rec_2_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_float_2_layers_v0_91,100364571,50
18,0.3754291319274154,0.4231448763250883,3,"[256, 256]",0.5,0.5,"[0.2, 0.5]","[2.0, 4.0]","[1.0, 1.0]","[0.003, 0.003]","[0.001, 0.003]",0.003,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([38.9356, 19.7991, 18.8855])","tensor([39.3983, 19.6418, 21.5458])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_float_2_layers_v0/shd_biograd_rec_2_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_float_2_layers_v0_18,100364571,50
53,0.4303580186365865,0.4275618374558304,6,"[256, 256]",0.5,0.5,"[0.5, 1.0]","[1.5, 1.5]","[0.3, 0.6]","[0.003, 0.003]","[0.001, 0.003]",0.003,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([37.2751, 13.5566, 25.4413])","tensor([39.8297, 14.6133, 26.2090])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_float_2_layers_v0/shd_biograd_rec_2_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_float_2_layers_v0_53,100364571,50
79,0.1549779303580186,0.2049469964664311,2,"[256, 256]",0.5,0.5,"[1.5, 1.5]","[2.0, 4.0]","[1.0, 2.0]","[0.003, 0.003]","[0.001, 0.003]",0.003,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([36.7709,  6.8009,  1.4803])","tensor([39.6037,  7.4035,  2.4576])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_float_2_layers_v0/shd_biograd_rec_2_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_float_2_layers_v0_79,100364571,50
64,0.3553212358999509,0.3652826855123675,6,"[256, 256]",0.5,0.5,"[1.5, 1.5]","[0.7, 0.7]","[0.3, 0.3]","[0.003, 0.003]","[0.001, 0.003]",0.003,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([37.5685, 11.7452, 25.9831])","tensor([39.0821, 13.2255, 26.8965])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_float_2_layers_v0/shd_biograd_rec_2_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_float_2_layers_v0_64,100364571,50
86,0.0781020107896027,0.0958480565371024,6,"[256, 256]",0.5,0.5,"[2.0, 4.0]","[0.7, 0.7]","[1.0, 1.0]","[0.003, 0.003]","[0.001, 0.003]",0.003,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([48.6607,  3.1879,  0.3116])","tensor([51.7129,  3.6174,  0.7859])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_float_2_layers_v0/shd_biograd_rec_2_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_float_2_layers_v0_86,100364571,50
30,0.4218979892103972,0.4068021201413427,6,"[256, 256]",0.5,0.5,"[0.7, 0.7]","[0.5, 1.0]","[1.0, 1.0]","[0.003, 0.003]","[0.001, 0.003]",0.003,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([39.6124, 25.6827, 31.2858])","tensor([44.0028, 27.6370, 31.5187])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_float_2_layers_v0/shd_biograd_rec_2_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_float_2_layers_v0_30,100364571,50
2,0.5441392839627268,0.4982332155477031,9,"[256, 256]",0.5,0.5,"[0.2, 0.5]","[0.2, 0.5]","[1.0, 1.0]","[0.003, 0.003]","[0.001, 0.003]",0.003,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([45.8227, 33.0236, 27.5792])","tensor([45.7198, 33.2796, 26.8856])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_float_2_layers_v0/shd_biograd_rec_2_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_float_2_layers_v0_2,100364571,50
11,0.4514467876410005,0.4558303886925795,12,"[256, 256]",0.5,0.5,"[0.2, 0.5]","[0.5, 1.0]","[1.0, 2.0]","[0.003, 0.003]","[0.001, 0.003]",0.003,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([47.2178, 30.2005, 33.5032])","tensor([47.8305, 31.3860, 34.9100])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_float_2_layers_v0/shd_biograd_rec_2_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_float_2_layers_v0_11,100364571,50
93,0.1732466895537028,0.1824204946996466,5,"[256, 256]",0.5,0.5,"[2.0, 4.0]","[1.5, 1.5]","[0.3, 0.6]","[0.003, 0.003]","[0.001, 0.003]",0.003,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([46.5753,  2.9988,  4.9862])","tensor([50.4935,  4.0349,  7.1288])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_float_2_layers_v0/shd_biograd_rec_2_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_float_2_layers_v0_93,100364571,50
