id,train_acc,val_acc,best_epoch,Neurons,loss_function,loss_precision,num_bits,weight_init_bits,low_precision_weights,activation_bits,vdecay,hidden_layer,out_layer,lr_hidden,lr_output,lr_scheduler,gradient_clip,weight_decay,data_params,train_activations,val_activations,train_activations_fb,train_batch_size,test_batch_size,fb_angle,fb_ratio,session_name,seed,epochs
13,0.6398970083374204,0.5856890459363958,44,[256],"('normal', None)",128,16,16,16,32,1.0,"[512000.0, 1024000.0]","[409600.0, 409600.0]",0.000244140625,0.0625,none,128,True,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([46.3745,  6.3902])","tensor([47.2666,  6.5118])","tensor([nan, nan])",128,256,0,0,shd_biograd_snn_1_layers_int_16_16_16_transposed_loss_direct_712492346_exp_id_13,712492346,50
39,0.6342569887199607,0.5931978798586572,27,[256],"('normal', None)",128,16,16,16,32,1.0,"[512000.0, 1024000.0]","[409600.0, 409600.0]",3.0517578125e-05,0.0625,none,128,True,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([39.5365,  6.4072])","tensor([40.5345,  6.7240])","tensor([nan, nan])",128,256,0,0,shd_biograd_snn_1_layers_int_16_16_16_transposed_loss_direct_416302576_exp_id_39,416302576,50
36,0.6699362432564983,0.5954063604240283,42,[256],"('normal', None)",128,16,16,16,32,1.0,"[512000.0, 1024000.0]","[409600.0, 409600.0]",0.000244140625,0.5,none,128,True,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([43.9638,  6.3613])","tensor([44.5213,  7.0135])","tensor([nan, nan])",128,256,0,0,shd_biograd_snn_1_layers_int_16_16_16_transposed_loss_direct_416302576_exp_id_36,416302576,50
9,0.6581657675331045,0.6245583038869258,44,[256],"('normal', None)",128,16,16,16,32,1.0,"[512000.0, 1024000.0]","[409600.0, 409600.0]",0.000244140625,0.0625,none,128,True,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([45.4050,  6.4435])","tensor([45.8723,  6.7874])","tensor([nan, nan])",128,256,0,0,shd_biograd_snn_1_layers_int_16_16_16_transposed_loss_direct_210342476_exp_id_9,210342476,50
8,0.6411230995586071,0.6143992932862191,23,[256],"('normal', None)",128,16,16,16,32,1.0,"[512000.0, 1024000.0]","[409600.0, 409600.0]",0.000244140625,0.5,none,128,True,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([41.8784,  6.1837])","tensor([42.7068,  6.7123])","tensor([nan, nan])",128,256,0,0,shd_biograd_snn_1_layers_int_16_16_16_transposed_loss_direct_210342476_exp_id_8,210342476,50
23,0.6554683668464933,0.6170494699646644,45,[256],"('normal', None)",128,16,16,16,32,1.0,"[512000.0, 1024000.0]","[409600.0, 409600.0]",3.0517578125e-05,0.0625,none,128,True,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([46.7293,  6.3111])","tensor([47.4615,  6.5219])","tensor([nan, nan])",128,256,0,0,shd_biograd_snn_1_layers_int_16_16_16_transposed_loss_direct_431267089_exp_id_23,431267089,50
12,0.6535066208925944,0.6068904593639576,47,[256],"('normal', None)",128,16,16,16,32,1.0,"[512000.0, 1024000.0]","[409600.0, 409600.0]",0.000244140625,0.5,none,128,True,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([47.6323,  6.3649])","tensor([48.6319,  6.2904])","tensor([nan, nan])",128,256,0,0,shd_biograd_snn_1_layers_int_16_16_16_transposed_loss_direct_712492346_exp_id_12,712492346,50
7,0.6911476213830309,0.605565371024735,48,[256],"('normal', None)",128,16,16,16,32,1.0,"[512000.0, 1024000.0]","[409600.0, 409600.0]",3.0517578125e-05,0.0625,none,128,True,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([43.0109,  6.4499])","tensor([43.9660,  6.6969])","tensor([nan, nan])",128,256,0,0,shd_biograd_snn_1_layers_int_16_16_16_transposed_loss_direct_702546693_exp_id_7,702546693,50
30,0.6742275625306523,0.6201413427561837,47,[256],"('normal', None)",128,16,16,16,32,1.0,"[512000.0, 1024000.0]","[409600.0, 409600.0]",3.0517578125e-05,0.5,none,128,True,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([45.0791,  6.3288])","tensor([46.1819,  6.5393])","tensor([nan, nan])",128,256,0,0,shd_biograd_snn_1_layers_int_16_16_16_transposed_loss_direct_301420567_exp_id_30,301420567,50
37,0.6647866601275135,0.5984982332155477,46,[256],"('normal', None)",128,16,16,16,32,1.0,"[512000.0, 1024000.0]","[409600.0, 409600.0]",0.000244140625,0.0625,none,128,True,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([43.7192,  6.4173])","tensor([44.2029,  6.8787])","tensor([nan, nan])",128,256,0,0,shd_biograd_snn_1_layers_int_16_16_16_transposed_loss_direct_416302576_exp_id_37,416302576,50
4,0.6783962726826875,0.605565371024735,44,[256],"('normal', None)",128,16,16,16,32,1.0,"[512000.0, 1024000.0]","[409600.0, 409600.0]",0.000244140625,0.5,none,128,True,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([43.7965,  6.4020])","tensor([44.9319,  6.8595])","tensor([nan, nan])",128,256,0,0,shd_biograd_snn_1_layers_int_16_16_16_transposed_loss_direct_702546693_exp_id_4,702546693,50
0,0.6712849435998038,0.6068904593639576,41,[256],"('normal', None)",128,16,16,16,32,1.0,"[512000.0, 1024000.0]","[409600.0, 409600.0]",0.000244140625,0.5,none,128,True,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([42.5455,  6.2712])","tensor([43.3820,  6.6064])","tensor([nan, nan])",128,256,0,0,shd_biograd_snn_1_layers_int_16_16_16_transposed_loss_direct_100364571_exp_id_0,100364571,50
