id,train_acc,val_acc,best_epoch,Neurons,vdecay,vedecay_rec,hidden_layer,out_layer,lr_hidden,lr_hidden_rec,lr_output,data_params,train_activations,val_activations,train_activations_fb,fb_angle,fb_ratio,session_name,seed,epochs
56,0.8013732221677293,0.678886925795053,22,[512],0.5,0.5,"[2.0, 4.0]","[1.0, 2.0]",0.01,0.1,0.003,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([35.1392, 23.1899])","tensor([34.9652, 23.5962])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_v3_neurons/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_v3_neurons_56,100364571,50
48,0.4460519862677783,0.4328621908127208,6,[512],0.5,0.5,"[2.0, 4.0]","[1.0, 1.0]",0.01,0.1,0.03,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([26.3639, 14.3400])","tensor([26.7517, 14.9508])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_v3_neurons/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_v3_neurons_48,100364571,50
92,0.8379107405590976,0.715547703180212,22,[512],0.5,0.5,"[6.0, 6.0]","[1.0, 2.0]",0.01,0.1,0.003,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([31.5696, 22.1326])","tensor([31.3651, 22.4928])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_v3_neurons/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_v3_neurons_92,100364571,50
33,0.4519372241294752,0.4151943462897526,4,[256],0.5,0.5,"[3.0, 6.0]","[1.0, 2.0]",0.003,0.1,0.03,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([23.5946, 18.3160])","tensor([24.1312, 18.8689])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_v3_neurons/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_v3_neurons_33,100364571,50
81,0.3413437959784208,0.3869257950530035,2,[512],0.5,0.5,"[3.0, 6.0]","[1.0, 2.0]",0.003,0.1,0.03,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([20.5579,  9.5001])","tensor([20.7662, 12.7623])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_v3_neurons/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_v3_neurons_81,100364571,50
32,0.7508582638548308,0.6356007067137809,27,[256],0.5,0.5,"[3.0, 6.0]","[1.0, 2.0]",0.01,0.1,0.003,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([38.4749, 24.8375])","tensor([38.4292, 25.2840])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_v3_neurons/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_v3_neurons_32,100364571,50
77,0.8570377636096126,0.726148409893993,28,[512],0.5,0.5,"[3.0, 6.0]","[1.0, 1.0]",0.003,0.1,0.003,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([31.6963, 19.3400])","tensor([31.7904, 19.2103])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_v3_neurons/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_v3_neurons_77,100364571,50
74,0.8425698871996077,0.7340989399293286,21,[512],0.5,0.5,"[3.0, 6.0]","[1.0, 1.0]",0.01,0.1,0.003,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([34.3676, 20.4234])","tensor([34.0930, 20.9288])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_v3_neurons/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_v3_neurons_74,100364571,50
42,0.3483325159391858,0.4098939929328622,2,[256],0.5,0.5,"[6.0, 6.0]","[1.0, 2.0]",0.01,0.1,0.03,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([20.8769, 13.4948])","tensor([20.6877, 16.3957])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_v3_neurons/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_v3_neurons_42,100364571,50
95,0.86194212849436,0.7287985865724381,30,[512],0.5,0.5,"[6.0, 6.0]","[1.0, 2.0]",0.003,0.1,0.003,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([31.4870, 20.0808])","tensor([31.7807, 20.4398])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_v3_neurons/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_v3_neurons_95,100364571,50
