id,train_acc,val_acc,best_epoch,Neurons,vdecay,vedecay_rec,hidden_layer,out_layer,lr_hidden,lr_hidden_rec,lr_output,fw_factor,rec_factor,data_params,train_activations,val_activations,train_activations_fb,fb_angle,fb_ratio,session_name,seed,epochs
127,0.2081902893575282,0.09231448763250884,46,[256],0.5,0.5,"[1000.0, 2000.0]","[8000.0, 8000.0]",1.9073486328125e-06,5.960464477539063e-08,0.25,0.015625,5.960464477539063e-08,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([16.5646,  0.5138])","tensor([44.2361,  1.7265])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_int/shd_biograd_rec_1_layers_int_16_16_8_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_int_127,100364571,50
170,0.05076017655713585,0.04549469964664311,0,[256],0.5,0.5,"[8000.0, 8000.0]","[1000.0, 2000.0]",1.9073486328125e-06,5.960464477539063e-08,0.25,0.0625,6.103515625e-05,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([0., 0.])","tensor([0., 0.])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_int/shd_biograd_rec_1_layers_int_16_16_8_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_int_170,100364571,50
24,0.049901912702305054,0.04549469964664311,0,[256],0.5,0.5,"[500.0, 500.0]","[1000.0, 2000.0]",1.9073486328125e-06,5.960464477539063e-08,0.25,0.0625,0.0625,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([0., 0.])","tensor([0., 0.])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_int/shd_biograd_rec_1_layers_int_16_16_8_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_int_24,100364571,50
198,0.05051495831289848,0.04549469964664311,0,[256],0.5,0.5,"[8000.0, 8000.0]","[8000.0, 8000.0]",1.9073486328125e-06,5.960464477539063e-08,0.25,0.015625,6.103515625e-05,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([0., 0.])","tensor([0., 0.])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_int/shd_biograd_rec_1_layers_int_16_16_8_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_int_198,100364571,50
163,0.25024521824423734,0.15724381625441697,30,[256],0.5,0.5,"[8000.0, 8000.0]","[500.0, 500.0]",1.9073486328125e-06,2.9103830456733704e-11,0.25,0.0625,5.960464477539063e-08,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([3.1169, 0.5254])","tensor([2.6136, 0.7313])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_int/shd_biograd_rec_1_layers_int_16_16_8_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_int_163,100364571,50
66,0.13585090730750368,0.12676678445229683,43,[256],0.5,0.5,"[500.0, 500.0]","[8000.0, 8000.0]",1.9073486328125e-06,2.9103830456733704e-11,0.25,0.0625,6.103515625e-05,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([11.5822,  0.4910])","tensor([36.7122,  2.9609])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_int/shd_biograd_rec_1_layers_int_16_16_8_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_int_66,100364571,50
104,0.049901912702305054,0.04549469964664311,0,[256],0.5,0.5,"[1000.0, 2000.0]","[1000.0, 2000.0]",1.9073486328125e-06,3.725290298461914e-09,0.25,0.0625,0.0625,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([0., 0.])","tensor([0., 0.])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_int/shd_biograd_rec_1_layers_int_16_16_8_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_int_104,100364571,50
77,0.05051495831289848,0.04549469964664311,0,[256],0.5,0.5,"[1000.0, 2000.0]","[500.0, 500.0]",1.9073486328125e-06,5.960464477539063e-08,0.25,0.015625,0.0009765625,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([0., 0.])","tensor([0., 0.])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_int/shd_biograd_rec_1_layers_int_16_16_8_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_int_77,100364571,50
31,0.05198626777832271,0.0812720848056537,1,[256],0.5,0.5,"[500.0, 500.0]","[1000.0, 2000.0]",1.9073486328125e-06,5.960464477539063e-08,0.25,0.015625,5.960464477539063e-08,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([2.7175, 0.4590])","tensor([32.9733,  6.4648])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_int/shd_biograd_rec_1_layers_int_16_16_8_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_int_31,100364571,50
102,0.2246199117214321,0.055212014134275615,18,[256],0.5,0.5,"[1000.0, 2000.0]","[1000.0, 2000.0]",1.9073486328125e-06,5.960464477539063e-08,0.25,0.015625,6.103515625e-05,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([21.6393,  0.5028])","tensor([49.5107,  1.5045])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_int/shd_biograd_rec_1_layers_int_16_16_8_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_int_102,100364571,50
110,0.07883766552231486,0.04814487632508834,2,[256],0.5,0.5,"[1000.0, 2000.0]","[1000.0, 2000.0]",1.9073486328125e-06,3.725290298461914e-09,0.25,0.015625,6.103515625e-05,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([1.9281, 0.4736])","tensor([1.1934, 0.2491])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_int/shd_biograd_rec_1_layers_int_16_16_8_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_int_110,100364571,50
193,0.04977930358018637,0.04549469964664311,0,[256],0.5,0.5,"[8000.0, 8000.0]","[8000.0, 8000.0]",1.9073486328125e-06,5.960464477539063e-08,0.25,0.0625,0.0009765625,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([0., 0.])","tensor([0., 0.])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_int/shd_biograd_rec_1_layers_int_16_16_8_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_int_193,100364571,50
