id,train_acc,val_acc,best_epoch,vdecay,hidden_layer,out_layer,lr_hidden,lr_output,data_params,train_activations,val_activations,train_activations_fb,fb_angle,fb_ratio,session_name,seed,epochs
18,0.1492153016184404,0.18860424028268552,37,0.5,"[250.0, 500.0]","[64000, 128000]",-16,0,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([27.0384,  0.5023])","tensor([26.7181,  0.4710])","tensor([nan, nan])",0,0,grid_search_shd_int/mnist_biograd_quant_1_layers_int_16_16_8_transposed_loss_direct_frames_10_time_100364571_exp_shd_int_18,100364571,50
21,0.30321235899950955,0.3034452296819788,37,0.5,"[1000.0, 2000.0]","[250.0, 500.0]",-16,-2,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([6.1289, 0.6548])","tensor([5.9307, 0.7122])","tensor([nan, nan])",0,0,grid_search_shd_int/mnist_biograd_quant_1_layers_int_16_16_8_transposed_loss_direct_frames_10_time_100364571_exp_shd_int_21,100364571,50
48,0.21603727317312407,0.28533568904593637,48,0.5,"[16000.0, 32000.0]","[64000, 128000]",-16,0,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([18.4203,  0.5037])","tensor([18.3427,  0.6905])","tensor([nan, nan])",0,0,grid_search_shd_int/mnist_biograd_quant_1_layers_int_16_16_8_transposed_loss_direct_frames_10_time_100364571_exp_shd_int_48,100364571,50
25,0.30995586071603726,0.31448763250883394,49,0.5,"[1000.0, 2000.0]","[2000.0, 4000.0]",-16,-2,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([7.5146, 0.5341])","tensor([7.3114, 0.6197])","tensor([nan, nan])",0,0,grid_search_shd_int/mnist_biograd_quant_1_layers_int_16_16_8_transposed_loss_direct_frames_10_time_100364571_exp_shd_int_25,100364571,50
47,0.29058361942128497,0.33568904593639576,46,0.5,"[16000.0, 32000.0]","[16000.0, 32000.0]",-16,-2,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([24.4092,  0.5050])","tensor([24.2569,  0.5363])","tensor([nan, nan])",0,0,grid_search_shd_int/mnist_biograd_quant_1_layers_int_16_16_8_transposed_loss_direct_frames_10_time_100364571_exp_shd_int_47,100364571,50
12,0.35728298185384993,0.3489399293286219,49,0.5,"[250.0, 500.0]","[1000.0, 2000.0]",-16,0,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([6.0748, 0.6120])","tensor([5.7955, 0.7369])","tensor([nan, nan])",0,0,grid_search_shd_int/mnist_biograd_quant_1_layers_int_16_16_8_transposed_loss_direct_frames_10_time_100364571_exp_shd_int_12,100364571,50
23,0.2986758214811182,0.30697879858657245,47,0.5,"[1000.0, 2000.0]","[1000.0, 2000.0]",-16,-2,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([5.5266, 0.5509])","tensor([5.2902, 0.5839])","tensor([nan, nan])",0,0,grid_search_shd_int/mnist_biograd_quant_1_layers_int_16_16_8_transposed_loss_direct_frames_10_time_100364571_exp_shd_int_23,100364571,50
51,0.2148111819519372,0.23409893992932862,48,0.5,"[5, 10]","[250.0, 500.0]",-16,-2,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 20, 'split_by': 'time'}","tensor([34.3331,  0.2763])","tensor([32.1752,  0.2876])","tensor([nan, nan])",0,0,grid_search_shd_int/mnist_biograd_quant_1_layers_int_16_16_8_transposed_loss_direct_frames_20_time_100364571_exp_shd_int_51,100364571,50
52,0.23234428641490926,0.25353356890459366,30,0.5,"[5, 10]","[1000.0, 2000.0]",-16,0,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 20, 'split_by': 'time'}","tensor([15.0784,  0.3255])","tensor([13.6041,  0.3113])","tensor([nan, nan])",0,0,grid_search_shd_int/mnist_biograd_quant_1_layers_int_16_16_8_transposed_loss_direct_frames_20_time_100364571_exp_shd_int_52,100364571,50
5,0.2455860716037273,0.26413427561837455,28,0.5,"[5, 10]","[2000.0, 4000.0]",-16,-2,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([18.3157,  0.5370])","tensor([17.5376,  0.5327])","tensor([nan, nan])",0,0,grid_search_shd_int/mnist_biograd_quant_1_layers_int_16_16_8_transposed_loss_direct_frames_10_time_100364571_exp_shd_int_5,100364571,50
8,0.15571358509073074,0.17800353356890458,49,0.5,"[5, 10]","[64000, 128000]",-16,0,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([30.1805,  0.4978])","tensor([30.3534,  0.4122])","tensor([nan, nan])",0,0,grid_search_shd_int/mnist_biograd_quant_1_layers_int_16_16_8_transposed_loss_direct_frames_10_time_100364571_exp_shd_int_8,100364571,50
71,0.27930358018636586,0.26501766784452296,40,0.5,"[1000.0, 2000.0]","[250.0, 500.0]",-16,-2,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 20, 'split_by': 'time'}","tensor([11.8826,  0.3432])","tensor([11.6974,  0.2887])","tensor([nan, nan])",0,0,grid_search_shd_int/mnist_biograd_quant_1_layers_int_16_16_8_transposed_loss_direct_frames_20_time_100364571_exp_shd_int_71,100364571,50
75,0.23075036782736635,0.2628091872791519,27,0.5,"[1000.0, 2000.0]","[2000.0, 4000.0]",-16,-2,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 20, 'split_by': 'time'}","tensor([13.6949,  0.3139])","tensor([12.9106,  0.3621])","tensor([nan, nan])",0,0,grid_search_shd_int/mnist_biograd_quant_1_layers_int_16_16_8_transposed_loss_direct_frames_20_time_100364571_exp_shd_int_75,100364571,50
56,0.17484060814124572,0.22614840989399293,29,0.5,"[5, 10]","[16000.0, 32000.0]",-16,0,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 20, 'split_by': 'time'}","tensor([22.0568,  0.2981])","tensor([21.0119,  0.3523])","tensor([nan, nan])",0,0,grid_search_shd_int/mnist_biograd_quant_1_layers_int_16_16_8_transposed_loss_direct_frames_20_time_100364571_exp_shd_int_56,100364571,50
58,0.16159882295242767,0.18595406360424027,37,0.5,"[5, 10]","[64000, 128000]",-16,0,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 20, 'split_by': 'time'}","tensor([29.4605,  0.2755])","tensor([28.5952,  0.1691])","tensor([nan, nan])",0,0,grid_search_shd_int/mnist_biograd_quant_1_layers_int_16_16_8_transposed_loss_direct_frames_20_time_100364571_exp_shd_int_58,100364571,50
31,0.2937714565963708,0.30079505300353354,44,0.5,"[2000.0, 4000.0]","[250.0, 500.0]",-16,-2,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([7.0718, 0.6702])","tensor([6.8230, 0.5603])","tensor([nan, nan])",0,0,grid_search_shd_int/mnist_biograd_quant_1_layers_int_16_16_8_transposed_loss_direct_frames_10_time_100364571_exp_shd_int_31,100364571,50
38,0.2030407062285434,0.23498233215547704,46,0.5,"[2000.0, 4000.0]","[64000, 128000]",-16,0,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([22.4204,  0.5062])","tensor([22.3326,  0.6561])","tensor([nan, nan])",0,0,grid_search_shd_int/mnist_biograd_quant_1_layers_int_16_16_8_transposed_loss_direct_frames_10_time_100364571_exp_shd_int_38,100364571,50
19,0.12175085826385483,0.178886925795053,37,0.5,"[250.0, 500.0]","[64000, 128000]",-16,-2,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([56.9718,  0.4946])","tensor([56.9024,  0.9963])","tensor([nan, nan])",0,0,grid_search_shd_int/mnist_biograd_quant_1_layers_int_16_16_8_transposed_loss_direct_frames_10_time_100364571_exp_shd_int_19,100364571,50
62,0.2663070132417852,0.2628091872791519,49,0.5,"[250.0, 500.0]","[1000.0, 2000.0]",-16,0,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 20, 'split_by': 'time'}","tensor([10.8609,  0.3596])","tensor([9.6186, 0.3883])","tensor([nan, nan])",0,0,grid_search_shd_int/mnist_biograd_quant_1_layers_int_16_16_8_transposed_loss_direct_frames_20_time_100364571_exp_shd_int_62,100364571,50
29,0.15461010299166258,0.1877208480565371,48,0.5,"[1000.0, 2000.0]","[64000, 128000]",-16,-2,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([53.5713,  0.5005])","tensor([53.4728,  0.5582])","tensor([nan, nan])",0,0,grid_search_shd_int/mnist_biograd_quant_1_layers_int_16_16_8_transposed_loss_direct_frames_10_time_100364571_exp_shd_int_29,100364571,50
42,0.29021579205492887,0.3401060070671378,40,0.5,"[16000.0, 32000.0]","[1000.0, 2000.0]",-16,0,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([3.5416, 0.5678])","tensor([3.4506, 0.6292])","tensor([nan, nan])",0,0,grid_search_shd_int/mnist_biograd_quant_1_layers_int_16_16_8_transposed_loss_direct_frames_10_time_100364571_exp_shd_int_42,100364571,50
