id,train_acc,val_acc,best_epoch,vdecay,vedecay_rec,hidden_layer,out_layer,lr_hidden,lr_hidden_rec,lr_output,data_params,train_activations,val_activations,train_activations_fb,fb_angle,fb_ratio,session_name,seed,epochs
37,0.8005149583128984,0.6607773851590106,36,0.5,0.0625,"[0.5, 1.0]","[0.7, 0.7]",0.001,0.1,0.003,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([41.2169, 20.9806])","tensor([41.5721, 20.9901])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_vdecay/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_vdecay_37,100364571,50
74,0.8364394310936734,0.6894876325088339,38,0.5,0.015625,"[1.5, 1.5]","[0.3, 0.6]",0.001,0.1,0.003,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([37.1788, 18.9294])","tensor([37.5199, 19.4545])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_vdecay/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_vdecay_74,100364571,50
14,0.780407062285434,0.6448763250883393,32,0.5,0.015625,"[0.3, 0.6]","[0.7, 0.7]",0.001,0.1,0.003,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([42.5199, 21.2996])","tensor([42.5515, 22.3205])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_vdecay/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_vdecay_14,100364571,50
62,0.8163315350662089,0.6682862190812721,47,0.5,0.015625,"[0.7, 0.7]","[0.7, 0.7]",0.001,0.1,0.003,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([40.3231, 19.8441])","tensor([40.5090, 20.1897])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_vdecay/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_vdecay_62,100364571,50
94,0.6655223148602256,0.5724381625441696,30,0.15,0.0625,"[1.5, 1.5]","[1.5, 1.5]",0.001,0.1,0.003,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([34.6234, 26.0536])","tensor([35.5868, 26.9365])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_vdecay/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_vdecay_94,100364571,50
60,0.8163315350662089,0.6682862190812721,47,0.5,0.5,"[0.7, 0.7]","[0.7, 0.7]",0.001,0.1,0.003,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([40.3231, 19.8441])","tensor([40.5090, 20.1897])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_vdecay/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_vdecay_60,100364571,50
53,0.7773418342324669,0.6042402826855123,48,0.15,0.015625,"[0.7, 0.7]","[0.3, 0.6]",0.001,0.1,0.003,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([39.2186, 24.5190])","tensor([39.6817, 25.1165])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_vdecay/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_vdecay_53,100364571,50
67,0.7731731240804316,0.6775618374558304,36,0.5,0.0625,"[0.7, 0.7]","[1.5, 1.5]",0.001,0.1,0.003,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([41.7584, 23.9220])","tensor([41.9569, 24.5886])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_vdecay/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_vdecay_67,100364571,50
57,0.7446051986267779,0.6033568904593639,42,0.15,0.5,"[0.7, 0.7]","[0.5, 1.0]",0.001,0.1,0.003,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([39.3091, 25.4083])","tensor([39.7530, 26.2950])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_vdecay/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_vdecay_57,100364571,50
41,0.7686365865620403,0.6192579505300353,42,0.15,0.015625,"[0.5, 1.0]","[0.7, 0.7]",0.001,0.1,0.003,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([40.8692, 25.5806])","tensor([41.2188, 26.1456])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_vdecay/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_vdecay_41,100364571,50
