id,train_acc,val_acc,best_epoch,Neurons,loss_function,loss_precision,num_bits,weight_init_bits,low_precision_weights,activation_bits,vdecay,hidden_layer,out_layer,lr_hidden,lr_output,lr_scheduler,gradient_clip,train_activations,val_activations,train_activations_fb,train_batch_size,test_batch_size,fb_angle,fb_ratio,session_name,seed,epochs
24,0.20758,0.5779,1,[100],"('random', (-1, 2))",128,16,16,11,15,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",3.0517578125e-05,0.5,none,0,"tensor([0.9964, 1.4385])","tensor([0.5983, 3.0396])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_11_transposed_loss_direct_100364571_exp_id_24,100364571,50
45,0.88148,0.9171,25,[100],"('random', (-1, 2))",128,16,16,11,15,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",3.814697265625e-06,0.5,none,512,"tensor([32.0209,  5.5389])","tensor([32.2459,  7.1792])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_11_transposed_loss_direct_100364571_exp_id_45,100364571,50
94,0.712,0.7694,49,[100],"('random', (-1, 2))",128,16,16,11,15,0.5,"[6000.0, 12000.0]","[24000.0, 48000.0]",3.814697265625e-06,4.0,none,2048,"tensor([14.9021,  4.4023])","tensor([15.1727,  4.9468])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_11_transposed_loss_direct_100364571_exp_id_94,100364571,50
88,0.75204,0.7993,5,[100],"('random', (-1, 2))",128,16,16,11,15,0.5,"[6000.0, 12000.0]","[24000.0, 48000.0]",3.0517578125e-05,0.125,none,2048,"tensor([15.2051,  4.8691])","tensor([15.2152,  4.5893])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_11_transposed_loss_direct_100364571_exp_id_88,100364571,50
9,0.98324,0.9681,49,[100],"('random', (-1, 2))",128,16,16,11,15,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",0.000244140625,0.5,none,512,"tensor([10.4632,  5.1292])","tensor([10.1674,  5.3330])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_11_transposed_loss_direct_100364571_exp_id_9,100364571,50
17,0.98668,0.971,38,[100],"('random', (-1, 2))",128,16,16,11,15,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",0.000244140625,0.125,none,2048,"tensor([8.0244, 5.0159])","tensor([7.9207, 4.8429])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_11_transposed_loss_direct_100364571_exp_id_17,100364571,50
13,0.94752,0.9602,48,[100],"('random', (-1, 2))",128,16,16,11,15,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",0.000244140625,0.125,none,0,"tensor([5.4180, 5.0105])","tensor([5.8049, 5.0310])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_11_transposed_loss_direct_100364571_exp_id_13,100364571,50
29,0.93622,0.9517,27,[100],"('random', (-1, 2))",128,16,16,11,15,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",3.0517578125e-05,0.5,none,2048,"tensor([5.6156, 5.3245])","tensor([5.3850, 4.7672])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_11_transposed_loss_direct_100364571_exp_id_29,100364571,50
71,0.73644,0.7667,1,[100],"('random', (-1, 2))",128,16,16,11,15,0.5,"[6000.0, 12000.0]","[24000.0, 48000.0]",0.000244140625,0.125,none,2048,"tensor([14.7200,  4.9126])","tensor([14.4220,  5.6281])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_11_transposed_loss_direct_100364571_exp_id_71,100364571,50
3,0.97608,0.961,35,[100],"('random', (-1, 2))",128,16,16,11,15,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",0.000244140625,4.0,none,512,"tensor([8.9200, 5.0817])","tensor([8.6855, 5.3562])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_11_transposed_loss_direct_100364571_exp_id_3,100364571,50
57,0.7694,0.7918,1,[100],"('random', (-1, 2))",128,16,16,11,15,0.5,"[6000.0, 12000.0]","[24000.0, 48000.0]",0.000244140625,4.0,none,512,"tensor([16.1279,  4.7659])","tensor([15.3695,  4.7323])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_11_transposed_loss_direct_100364571_exp_id_57,100364571,50
