id,train_acc,val_acc,best_epoch,Neurons,loss_function,loss_precision,num_bits,weight_init_bits,low_precision_weights,activation_bits,vdecay,hidden_layer,out_layer,lr_hidden,lr_output,lr_scheduler,gradient_clip,train_activations,val_activations,train_activations_fb,train_batch_size,test_batch_size,fb_angle,fb_ratio,session_name,seed,epochs
74,0.55886,0.6568,0,[100],"('random', (-1, 2))",128,16,16,15,15,0.5,"[8000.0, 16000.0]","[32000.0, 64000.0]",3.0517578125e-05,0.03125,none,512,"tensor([20.5943,  3.5629])","tensor([18.3620,  3.7244])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_15_transposed_loss_direct_100364571_exp_id_74,100364571,50
106,0.56378,0.5635,0,[100],"('random', (-1, 2))",128,16,16,15,15,0.5,"[8000.0, 16000.0]","[32000.0, 64000.0]",3.814697265625e-06,0.125,none,2048,"tensor([17.8068,  3.6546])","tensor([16.1554,  3.4358])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_15_transposed_loss_direct_100364571_exp_id_106,100364571,50
34,0.9316,0.9441,39,[100],"('random', (-1, 2))",128,16,16,15,15,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",3.0517578125e-05,0.125,none,2048,"tensor([2.5552, 4.8343])","tensor([2.6006, 8.7703])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_15_transposed_loss_direct_100364571_exp_id_34,100364571,50
47,0.89312,0.9407,42,[100],"('random', (-1, 2))",128,16,16,15,15,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",3.814697265625e-06,0.5,none,2048,"tensor([4.4394, 4.9543])","tensor([4.9759, 5.8643])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_15_transposed_loss_direct_100364571_exp_id_47,100364571,50
60,0.3837,0.4069,10,[100],"('random', (-1, 2))",128,16,16,15,15,0.5,"[8000.0, 16000.0]","[32000.0, 64000.0]",9.5367431640625e-07,0.5,none,0,"tensor([15.6024,  3.1181])","tensor([15.6140,  3.4121])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_15_transposed_loss_direct_100364571_exp_id_60,100364571,50
104,0.5684,0.6306,0,[100],"('random', (-1, 2))",128,16,16,15,15,0.5,"[8000.0, 16000.0]","[32000.0, 64000.0]",3.814697265625e-06,0.125,none,512,"tensor([21.5792,  3.5962])","tensor([18.0099,  3.5515])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_15_transposed_loss_direct_100364571_exp_id_104,100364571,50
18,0.11594,0.193,45,[100],"('random', (-1, 2))",128,16,16,15,15,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",3.0517578125e-05,0.03125,none,0,"tensor([6.5807, 0.2176])","tensor([6.0127, 0.5259])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_15_transposed_loss_direct_100364571_exp_id_18,100364571,50
50,0.9088,0.9329,23,[100],"('random', (-1, 2))",128,16,16,15,15,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",3.814697265625e-06,0.125,none,512,"tensor([17.3721,  5.2577])","tensor([17.4579,  7.6770])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_15_transposed_loss_direct_100364571_exp_id_50,100364571,50
15,0.86638,0.96,46,[100],"('random', (-1, 2))",128,16,16,15,15,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",9.5367431640625e-07,0.125,none,512,"tensor([21.0960,  5.4884])","tensor([20.9555,  8.6829])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_15_transposed_loss_direct_100364571_exp_id_15,100364571,50
76,0.60808,0.6513,0,[100],"('random', (-1, 2))",128,16,16,15,15,0.5,"[8000.0, 16000.0]","[32000.0, 64000.0]",3.0517578125e-05,0.03125,none,2048,"tensor([19.3244,  3.6294])","tensor([17.6251,  3.4927])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_15_transposed_loss_direct_100364571_exp_id_76,100364571,50
